Rank,Name,Canvas,CanvasWeight,Chaqueta,ChaquetaWeight,Craneo,CraneoWeight,Polvo,PolvoWeight,Rociada,RociadaWeight,TraitCount,Weighting
610,ElMatador4646,Gijon,191.9615385,Pericido,58.0348837,Relajada,124.775,Litiase,58.0348837,Atufo,62.3875,5,496.3041507
611,ElMatador3394,Segovia,124.775,Falso,131.3421053,Mentorosa,138.6388889,Tizne,31.9935897,Nunitus,68.369863,5,496.2297917000001
612,ElMatador3602,Donostia,131.3421053,Famosio,131.3421053,Cuervo,127.974359,Brilho,35.9064748,Nunitus,68.369863,5,496.0452522
613,ElMatador2571,Chimbote,108.5,Esfolar,124.775,Aeduo,121.7317073,Esfiapar,75.6212121,caotica,63.9871795,5,495.7254437
614,ElMatador2157,Huacho,92.4259259,Clarao,172.1034483,Brioso,127.974359,Marcas,38.0992366,caotica,63.9871795,5,495.7004941
615,ElMatador3236,Mixco,113.4318182,Claro,131.3421053,Fidalgo,106.1914894,Porco,43.7807018,Tepidus,99.82,5,495.6764594999999
616,ElMatador2542,Nueva,87.5614035,Odre,142.6,Maldoso,142.6,Imunda,41.2479339,Mania,80.5,5,495.61968220000006
617,ElMatador3648,Nazca,121.7317073,Valioso,66.5466667,Monstro,172.1034483,Pedras,65.6710526,Nunitus,68.369863,5,495.53308269999997
618,ElMatador4315,Barillas,108.5,Polido,106.1914894,Monstro,172.1034483,None,16.5264901,Calidus,81.8196721,4,495.47443319999996
619,ElMatador1991,Oviedo,161,Fulgor,101.8571429,Esquisito,127.974359,Atarantar,64.8181818,Tierra,38.6899225,5,495.449951
620,ElMatador3622,Cadiz,127.974359,Rasgada,116.0697674,Desonesto,118.8333333,Sombra,58.0348837,Rabiar,73.3970588,5,495.41974700000003
621,ElMatador4296,Oviedo,161,Explicito,74.4925373,Mieda,121.7317073,Luz,37.2462687,Siccus,99.82,5,495.4008581
622,ElMatador4106,Belmopan,110.9111111,Famosio,131.3421053,Narrador,146.7941176,Grava,31.7898089,Picon,73.3970588,5,495.3445465
623,ElMatador2336,Limon,113.4318182,Indole,151.2424242,LaAlma,118.8333333,Luz,37.2462687,Rabiar,73.3970588,5,495.2612479999999
624,ElMatador2122,Celba,103.9791667,Odre,142.6,Ciervo,121.7317073,Seixos,65.6710526,Bagunca,60.1325301,5,495.22480149999996
625,ElMatador2625,Salamanca,138.6388889,Liso,131.3421053,Severa,131.3421053,Raspar,34.6597222,Boga,58.0348837,5,495.1280502
626,ElMatador4230,Tingo,99.82,Perifido,131.3421053,Morte,151.2424242,Marcas,38.0992366,Picon,73.3970588,5,495.0111697
627,ElMatador4919,Belmopan,110.9111111,Agudo,89.125,Gula,191.9615385,Infecto,40.25,Espeso,61.617284,5,494.9752784
628,ElMatador4375,Jaen,118.8333333,Esperto,151.2424242,Mau,118.8333333,Sujo,46.212963,Caotico,58.7176471,5,494.95004570000003
629,ElMatador2102,Tacna,116.0697674,Indole,151.2424242,Corrupto,116.0697674,Defeito,35.9064748,Linny,74.4925373,5,494.8913159
630,ElMatador0586,Natal,94.1698113,Elegante,77.984375,Tauro,237.6666667,Brillo,33.4966443,Limpiar,50.4141414,5,494.8419835
631,ElMatador2888,Jerez,155.96875,Pelucia,89.125,Venado,134.8918919,Sebento,40.25,Rabiar,73.3970588,5,494.7430455
632,ElMatador4794,Cuenca,178.25,Engraxado,127.974359,Rapida,110.9111111,Brilho,35.9064748,Sujeria,40.5772358,5,494.7295255
633,ElMatador4355,Soyapango,118.8333333,Instavel,151.2424242,Temer,103.9791667,Tizne,31.9935897,Furvidus,87.5614035,5,494.7202622
634,ElMatador4080,Mejicanos,60.1325301,Rasgado,76.7846154,Timador,249.55,Sombra,58.0348837,Desordem,48.9313725,5,494.54374650000005
635,ElMatador3192,Cuenca,178.25,Fuerte,67.4459459,Narrador,146.7941176,Defeito,35.9064748,Pena,64.8181818,5,494.32506490000003
636,ElMatador2495,Ana,86.0517241,Polido,106.1914894,Enganadora,184.8518519,Imundo,42.6581197,Grima,73.3970588,5,494.26058869999997
637,ElMatador3424,Valencia,166.3666667,Capa,89.125,Flutuar,166.3666667,None,16.5264901,Porcaria,45.3727273,4,494.0908841
638,ElMatador3702,Salamanca,138.6388889,Casaco,69.3194444,Comandante,184.8518519,Grava,31.7898089,Nunitus,68.369863,5,494.0802019
639,ElMatador1213,Puebla,118.8333333,Capa,89.125,Embustero,166.3666667,Marcas,38.0992366,Mania,80.5,5,494.0345814
640,ElMatador2146,Donostia,131.3421053,Romeria,64.8181818,Comandante,184.8518519,Cisco,38.3923077,Rabiar,73.3970588,5,493.9118503000001
641,ElMatador4009,Burgos,124.775,Replica,127.974359,Siniestro,161,Marcas,38.0992366,Cunfusao,40.9098361,5,493.8687765
642,ElMatador4610,Manaus,101.8571429,Indole,151.2424242,LaAlma,118.8333333,Sebento,40.25,Mania,80.5,5,493.7932452
643,ElMatador2120,Corodoba,134.8918919,Instavel,151.2424242,Nobre,103.9791667,Porco,43.7807018,Desgracia,58.7176471,5,493.72217650000005
644,ElMatador4986,Porto,84.5932203,Merito,166.3666667,Perverso,118.8333333,Seixas,63.9871795,Caotico,58.7176471,5,493.6083917
645,ElMatador1641,Juliaca,124.775,Famosio,131.3421053,Animo,142.6,Aranar,31.3899371,Dolor,62.3875,5,493.60488719999995
646,ElMatador3421,Coruna,134.8918919,Elegante,77.984375,Enganadora,184.8518519,Defeito,35.9064748,Desgracia,58.7176471,5,493.46258550000005
647,ElMatador2370,Palma,199.64,Augusto,64.8181818,Levado,116.0697674,Cascalho,53.0957447,Desgracia,58.7176471,5,493.4516858
648,ElMatador4389,Zaragoza,113.4318182,Clarao,172.1034483,Energico,94.1698113,Felpar,70.2957746,Mugre,42.2966102,5,493.4078074
649,ElMatador3033,Zacapa,127.974359,Famosio,131.3421053,Furioso,134.8918919,Imunda,41.2479339,Vuelco,56.7159091,5,493.28254400000003
650,ElMatador2646,Tarronga,184.8518519,Titulo,63.1772152,Cuervo,127.974359,Porco,43.7807018,Revas,72.3333333,5,493.22780600000004
651,ElMatador3045,Tacna,116.0697674,Liso,131.3421053,Narrador,146.7941176,Po,36.9703704,Dejado,60.8658537,5,493.1525592
652,ElMatador1772,Sumpango,101.8571429,Instavel,151.2424242,Leal,124.775,Besuntado,39.6111111,Enojo,74.4925373,5,493.08856030000004
653,ElMatador4057,Lisbon,63.9871795,Famoso,86.0517241,Trapala,249.55,Aranar,31.3899371,Picazon,60.8658537,5,492.9550392
654,ElMatador3757,Callao,151.2424242,Medida,118.8333333,Salvaje,134.8918919,Porco,43.7807018,Tumulto,43.0258621,5,492.8845581
655,ElMatador4813,Beja,68.369863,Relevo,110.9111111,Aborto,217,Aranar,31.3899371,caotica,63.9871795,5,492.7684355
656,ElMatador2868,Sintra,84.5932203,Camisa,81.8196721,Estafadora,207.9583333,Imundo,42.6581197,Lentum,74.4925373,5,492.63222749999994
657,ElMatador3348,Almada,69.3194444,Perifido,131.3421053,Embustero,166.3666667,Cotao,68.369863,Trastormo,56.0786517,5,492.5870759
658,ElMatador4496,Horizante,110.9111111,Odre,142.6,Superbus,134.8918919,Raspar,34.6597222,Nunitus,68.369863,5,492.542933
659,ElMatador2411,Cadiz,127.974359,Manera,87.5614035,Gula,191.9615385,Defeito,35.9064748,Senal,47.9903846,5,492.50450520000004
660,ElMatador4334,Bilbao,151.2424242,Medida,118.8333333,Relajada,124.775,Cisco,38.3923077,Molesta,58.0348837,5,492.3882937
661,ElMatador2337,LaUnion,74.4925373,Pelerine,72.3333333,Moribundo,199.64,Felpar,70.2957746,Lentum,74.4925373,5,492.3645273
662,ElMatador2721,Cartagena,121.7317073,Liso,131.3421053,Rica,101.8571429,Seixas,63.9871795,Revas,72.3333333,5,492.3618131
663,ElMatador1940,Sonsonate,86.0517241,Desejo,92.4259259,Condutor,199.64,Porco,43.7807018,Peturbar,69.3194444,5,492.328141
664,ElMatador3486,Lisbon,63.9871795,Esperto,151.2424242,Venado,134.8918919,Imunda,41.2479339,Tepidus,99.82,5,492.2997743
665,ElMatador1664,Celba,103.9791667,Clarao,172.1034483,Venado,134.8918919,Cubrir,33.952381,Sujar,46.212963,5,492.25019569999995
666,ElMatador4736,Cuenca,178.25,Simpatea,69.3194444,Amotinado,118.8333333,Obsceno,44.1681416,Mania,80.5,5,492.1812641
667,ElMatador3818,Oviedo,161,Fornido,63.1772152,Curioso,124.775,Marcas,38.0992366,Caos,103.9791667,5,492.1409633
668,ElMatador3990,Salamanca,138.6388889,Odre,142.6,Pavaroso,110.9111111,Aranar,31.3899371,Peligro,67.4459459,5,492.09622779999995
669,ElMatador3113,Zaragoza,113.4318182,Moda,74.4925373,Rebelde,178.25,Luz,37.2462687,Furvidus,87.5614035,5,492.0923725
670,ElMatador4534,Sumpango,101.8571429,Indole,151.2424242,Demonio,101.8571429,Marcas,38.0992366,Luteus,97.8627451,5,492.02903649999996
671,ElMatador4522,Callao,151.2424242,Esfolar,124.775,LaAlma,118.8333333,Defeito,35.9064748,Bagunca,60.1325301,5,492.0001072
672,ElMatador4332,Murcia,131.3421053,Engraxado,127.974359,Enganador,127.974359,Besuntado,39.6111111,caotica,63.9871795,5,491.99945870000005
673,ElMatador2720,Porto,84.5932203,Crosto,106.1914894,Embustero,166.3666667,Esfiapar,75.6212121,Molesta,58.0348837,5,491.917817
674,ElMatador2809,Ciudad,92.4259259,Chama,121.7317073,Acerbo,108.5,Seixas,63.9871795,Caos,103.9791667,5,491.7343242
675,ElMatador2839,Jerez,155.96875,Rasgada,116.0697674,Fantasma,86.0517241,Litiase,58.0348837,Lentum,74.4925373,5,491.7280073
676,ElMatador4742,Salvador,79.2222222,Hermosa,63.9871795,Trapala,249.55,Cicatriz,36.9703704,Picazon,60.8658537,5,491.7059706
677,ElMatador1787,Bilbao,151.2424242,Reluzir,138.6388889,Cruela,90.7454545,Besuntado,39.6111111,Embargo,70.2957746,5,491.64399810000003
678,ElMatador2050,Manaus,101.8571429,Esperto,151.2424242,Maldoso,142.6,Marcas,38.0992366,Vuelco,56.7159091,5,491.62505759999993
679,ElMatador3091,Salamanca,138.6388889,Lustroso,131.3421053,Buitre,92.4259259,Pedras,65.6710526,Dolor,62.3875,5,491.57581749999997
680,ElMatador1819,Jaen,118.8333333,Polido,106.1914894,Voar,172.1034483,Luz,37.2462687,Trastormo,56.0786517,5,491.56353620000004
681,ElMatador3329,Cusco,89.125,Instavel,151.2424242,Ciervo,121.7317073,Litiase,58.0348837,Embargo,70.2957746,5,491.54013460000004
682,ElMatador1904,Izalco,63.9871795,Vigoroso,70.2957746,Mosca,249.55,Tizne,31.9935897,Enojo,74.4925373,5,491.42942590000007
683,ElMatador4750,Tocumen,103.9791667,Reluzente,161,Mentorosa,138.6388889,Raspar,34.6597222,Lodo,51.9895833,5,491.3777059
684,ElMatador4065,Tacna,116.0697674,Bello,70.2957746,Revoltado,161,Manchar,43.0258621,Siccus,99.82,5,491.3217489
685,ElMatador3226,Corodoba,134.8918919,Engraxado,127.974359,Exilado,110.9111111,Vil,43.0258621,Picon,73.3970588,5,491.31062770000005
686,ElMatador4620,Salvador,79.2222222,Elegante,77.984375,Trapala,249.55,Cicatriz,36.9703704,Sujar,46.212963,5,491.0502754
687,ElMatador1660,Juliaca,124.775,Engraxado,127.974359,Mentorosa,138.6388889,Brilho,35.9064748,Alterar,62.3875,5,490.7925675
688,ElMatador2027,Corodoba,134.8918919,Instavel,151.2424242,Veloz,113.4318182,Aranar,31.3899371,Desgracia,58.7176471,5,490.7840633
689,ElMatador4274,Ronda,134.8918919,Valioso,66.5466667,Estafadora,207.9583333,Laluz,34.4206897,Huella,45.7889908,5,490.71691720000007
690,ElMatador2466,Pamplona,199.64,Toscoe,71.3,Adusto,110.9111111,Sebento,40.25,Peligro,67.4459459,5,490.6574018
691,ElMatador1269,Callao,151.2424242,Pelucia,89.125,Relajada,124.775,Porco,43.7807018,Mania,80.5,5,490.53347080000003
692,ElMatador2302,Bilbao,151.2424242,Padrao,116.0697674,Fuerto,97.8627451,Cabelo,54.8461538,Torridus,69.3194444,5,490.45087970000003
693,ElMatador4823,Jerez,155.96875,Crosto,106.1914894,Salvaje,134.8918919,Porco,43.7807018,Doenca,48.4563107,5,490.39948860000004
694,ElMatador4944,Burgos,124.775,Odre,142.6,Leon,108.5,Porcada,31.5886076,Calidus,81.8196721,5,490.3936245
695,ElMatador4611,Tacna,116.0697674,Liso,131.3421053,Obito,131.3421053,Defeito,35.9064748,Lentum,74.4925373,5,490.26333489999996
696,ElMatador1956,Vincinte,71.3,Indole,151.2424242,Revoltado,161,Vil,43.0258621,Atufo,62.3875,5,490.06613109999995
697,ElMatador4531,Coban,108.5,Couro,108.5,Flutuar,166.3666667,Manchar,43.0258621,Alterar,62.3875,5,489.8903736
698,ElMatador1841,Belmopan,110.9111111,Relevo,110.9111111,Magnifico,134.8918919,Tizne,31.9935897,Tepidus,99.82,5,489.6380486
699,ElMatador3241,Bilbao,151.2424242,Sagax,79.2222222,Macaco,131.3421053,Pedras,65.6710526,Picazon,60.8658537,5,489.45400279999996
700,ElMatador2292,Valencia,166.3666667,Agudo,89.125,Venal,89.125,Felpar,70.2957746,Grima,73.3970588,5,489.41984490000004
701,ElMatador2563,Alicante,146.7941176,Claro,131.3421053,Esquisito,127.974359,Defeito,35.9064748,Sujar,46.212963,5,489.3403645
702,ElMatador2086,Burgos,124.775,Flamejar,118.8333333,Furioso,134.8918919,Imunda,41.2479339,Nunitus,68.369863,5,489.2283669000001
703,ElMatador4897,Salamanca,138.6388889,Seda,66.5466667,Negrito,199.64,Sebento,40.25,Tumulto,43.0258621,5,489.2117625
704,ElMatador3924,Medillian,97.8627451,Reluzente,161,Magia,131.3421053,Vestigio,56.7159091,Cunfusao,40.9098361,5,488.94094039999993
705,ElMatador4397,Segovia,124.775,Medida,118.8333333,Magnifico,134.8918919,Cicatriz,36.9703704,Revas,72.3333333,5,488.9142737
706,ElMatador4983,Cumbres,121.7317073,Encerado,138.6388889,Guia,106.1914894,Brillo,33.4966443,Furvidus,87.5614035,5,488.73047820000005
707,ElMatador3670,Pamplona,199.64,Vigoroso,70.2957746,Furioso,134.8918919,Raspar,34.6597222,Basura,47.9903846,5,488.5881181
708,ElMatador2058,Pisco,94.1698113,Lampejo,118.8333333,Cabriole,166.3666667,Brillo,33.4966443,Lentum,74.4925373,5,488.46933770000004
709,ElMatador2290,Cumbres,121.7317073,Engraxado,127.974359,Fidalgo,106.1914894,Litiase,58.0348837,Grima,73.3970588,5,488.439843
710,ElMatador1891,Tarma,106.1914894,Claro,131.3421053,Animo,142.6,Atarantar,64.8181818,Mugre,42.2966102,5,488.3587315
711,ElMatador2070,Oviedo,161,Lugos,65.6710526,Levado,116.0697674,Seixas,63.9871795,Mania,80.5,5,488.3383443
712,ElMatador4844,Managua,113.4318182,Encerado,138.6388889,Buitre,92.4259259,Felpar,70.2957746,Revas,72.3333333,5,488.2360857
713,ElMatador2552,Zaragoza,113.4318182,Padrao,116.0697674,Maldoso,142.6,Cicatriz,36.9703704,Anguista,77.984375,5,488.1666758
714,ElMatador2988,Burgos,124.775,Famoso,86.0517241,Omal,146.7941176,Cotao,68.369863,Picazon,60.8658537,5,487.96690320000005
715,ElMatador1972,Cantel,110.9111111,Destro,142.6,Tolo,134.8918919,Infecto,40.25,Boga,58.0348837,5,487.79823150000004
716,ElMatador3451,Coruna,134.8918919,Lustroso,131.3421053,Miedo,103.9791667,Defeito,35.9064748,Mania,80.5,5,487.7299835
717,ElMatador2214,Jerez,155.96875,Traje,70.2957746,Ciervo,121.7317073,Litiase,58.0348837,Mania,80.5,5,487.6414604
718,ElMatador4451,Patzicia,118.8333333,Encerado,138.6388889,Bruxaria,116.0697674,Cabelo,54.8461538,Molesta,58.0348837,5,487.5333719000001
719,ElMatador2832,Alicante,146.7941176,Crosto,106.1914894,Dewsviada,95.9807692,Seixas,63.9871795,Rabiar,73.3970588,5,487.4609593
720,ElMatador2931,Curibita,116.0697674,Merito,166.3666667,Nobre,103.9791667,Aranar,31.3899371,Nunitus,68.369863,5,487.2857457
721,ElMatador3706,Girona,151.2424242,Padrao,116.0697674,Guia,106.1914894,Marcas,38.0992366,Lentum,74.4925373,5,487.2057997
722,ElMatador3898,Escuintla,103.9791667,Falso,131.3421053,Revoltado,161,Imundo,42.6581197,Barafunda,47.0849057,5,487.17464219999994
723,ElMatador3864,Pamplona,199.64,Blusa,70.2957746,Bruxaria,116.0697674,Cisco,38.3923077,Espeso,61.617284,5,487.1254785
724,ElMatador3467,Tajer,161,Titulo,63.1772152,Severa,131.3421053,Atarantar,64.8181818,Sucio,65.6710526,5,487.1188997
725,ElMatador2629,Sumpango,101.8571429,Destro,142.6,Sevaro,103.9791667,Seixas,63.9871795,Grima,73.3970588,5,486.9308927000001
726,ElMatador1722,Pisco,94.1698113,Engraxado,127.974359,Revoltado,161,Sebento,40.25,Dolor,62.3875,5,486.89201510000004
727,ElMatador3230,Pamplona,199.64,Pelerine,72.3333333,Venal,89.125,Obsceno,44.1681416,Mania,80.5,5,486.8768197
728,ElMatador4670,Cusco,89.125,Engraxado,127.974359,Embustero,166.3666667,Tizne,31.9935897,Embargo,70.2957746,5,486.8657348
729,ElMatador2349,Malaga,110.9111111,Perifido,131.3421053,Cabriole,166.3666667,Defeito,35.9064748,Cunfusao,40.9098361,5,486.5465388
730,ElMatador4359,SanMiguel,63.1772152,Esfolar,124.775,Negrito,199.64,Besuntado,39.6111111,Molesta,58.0348837,5,486.34855480000004
731,ElMatador2750,Salamanca,138.6388889,Elegante,77.984375,Narrador,146.7941176,Imunda,41.2479339,Mania,80.5,5,486.27566020000006
732,ElMatador2480,Donostia,131.3421053,Destro,142.6,Intenso,116.0697674,Cicatriz,36.9703704,Molesta,58.0348837,5,486.1274716
733,ElMatador1640,Sumpango,101.8571429,Crosto,106.1914894,Cisao,151.2424242,Ardor,38.0992366,Furvidus,87.5614035,5,486.06204139999994
734,ElMatador3863,Monsaraz,70.2957746,Reluzente,161,Bruxaria,116.0697674,Seixas,63.9871795,Rabiar,73.3970588,5,485.8601251
735,ElMatador2798,Tarma,106.1914894,Lustroso,131.3421053,Macaco,131.3421053,Cubrir,33.952381,Calidus,81.8196721,5,485.75809789999994
736,ElMatador4352,Donostia,131.3421053,Odre,142.6,Agreste,108.5,Obsceno,44.1681416,Boga,58.0348837,5,485.7554754
737,ElMatador4967,Almada,69.3194444,Tunica,121.7317073,Fraude,184.8518519,Vestigio,56.7159091,Lodo,51.9895833,5,485.7188408
738,ElMatador2835,Ana,86.0517241,Famosio,131.3421053,Monstro,172.1034483,Cicatriz,36.9703704,Boga,58.0348837,5,485.6128766
739,ElMatador1908,Donostia,131.3421053,Perifido,131.3421053,Energico,94.1698113,Furia,47.0849057,Mania,80.5,5,485.54927239999995
740,ElMatador1244,Huacho,92.4259259,Simpatea,69.3194444,Tauro,237.6666667,Cicatriz,36.9703704,Basura,47.9903846,5,485.4831368
741,ElMatador3729,SanMiguel,63.1772152,Odre,142.6,Monstro,172.1034483,Marcas,38.0992366,Nunitus,68.369863,5,485.46010789999997
742,ElMatador1691,Sullana,97.8627451,Esfolar,124.775,Nato,131.3421053,Sombra,58.0348837,Revas,72.3333333,5,485.45841220000005
743,ElMatador3841,Managua,113.4318182,Aspero,64.8181818,Gula,191.9615385,Besuntado,39.6111111,Enojo,74.4925373,5,485.42553169999996
744,ElMatador4446,Alegre,71.3,Encerado,138.6388889,Siniestro,161,None,16.5264901,Furvidus,87.5614035,4,485.36011579999996
745,ElMatador3466,Soloia,116.0697674,Romeria,64.8181818,Mentorosa,138.6388889,Atarantar,64.8181818,Tepidus,99.82,5,485.2753647
746,ElMatador4837,Alicante,146.7941176,Quente,56.0786517,Animo,142.6,Litiase,58.0348837,Mania,80.5,5,485.1179978
747,ElMatador4211,Piura,97.8627451,Padrao,116.0697674,Revoltado,161,Felpar,70.2957746,Tierra,38.6899225,5,485.0285544000001
748,ElMatador4266,Burgos,124.775,Catus,64.8181818,Rebelde,178.25,Litiase,58.0348837,Molesta,58.0348837,5,485.0232940000001
749,ElMatador2481,Chincha,124.775,Famosio,131.3421053,Morte,151.2424242,Defeito,35.9064748,Sujeria,40.5772358,5,484.9535849
750,ElMatador4753,Coban,108.5,Robusto,66.5466667,Chefe,217,Cascalho,53.0957447,Tierra,38.6899225,5,484.94267870000004
751,ElMatador4633,Quito,110.9111111,Reluzente,161,Perrito,118.8333333,Po,36.9703704,Trastormo,56.0786517,5,484.9038113
752,ElMatador4431,Coimbra,64.8181818,Instavel,151.2424242,Fraude,184.8518519,Laluz,34.4206897,Doenca,48.4563107,5,484.8998031000001
753,ElMatador3599,Managua,113.4318182,Traje,70.2957746,Gluton,199.64,Sombra,58.0348837,Mugre,42.2966102,5,484.8094315000001
754,ElMatador3245,Salvador,79.2222222,Agudo,89.125,Cabeca,226.8636364,Infecto,40.25,Senal,47.9903846,5,484.56158800000003
755,ElMatador4930,Bilbao,151.2424242,Rasgada,116.0697674,Cuervo,127.974359,None,16.5264901,Atufo,62.3875,4,484.53387399999997
756,ElMatador4705,Bilbao,151.2424242,Claro,131.3421053,Intenso,116.0697674,Obsceno,44.1681416,Sujeria,40.5772358,5,484.51001909999997
757,ElMatador2412,Corodoba,134.8918919,Odre,142.6,Lider,97.8627451,Cocar,33.4966443,Enojo,74.4925373,5,484.45416339999997
758,ElMatador1690,Girona,151.2424242,Reluzir,138.6388889,Tenaz,113.4318182,Tizne,31.9935897,Basura,47.9903846,5,484.4074504
759,ElMatador4583,Cumbres,121.7317073,Toscoe,71.3,Fraude,184.8518519,Cicatriz,36.9703704,Nunitus,68.369863,5,484.33413740000003
760,ElMatador4050,Tarronga,184.8518519,Salsus,77.984375,Amotinado,118.8333333,Cascalho,53.0957447,Doenca,48.4563107,5,484.33196040000007
761,ElMatador3143,Vincinte,71.3,Couro,108.5,Cuervo,127.974359,Esfiapar,75.6212121,Siccus,99.82,5,484.3259159
762,ElMatador2776,Huacho,92.4259259,Encerado,138.6388889,Leal,124.775,Sombra,58.0348837,Torridus,69.3194444,5,484.30448770000004
763,ElMatador3804,Curibita,116.0697674,Crosto,106.1914894,Mentorosa,138.6388889,Raspar,34.6597222,Furvidus,87.5614035,5,484.2316162
764,ElMatador2246,Soyapango,118.8333333,Lustroso,131.3421053,Obito,131.3421053,Cabelo,54.8461538,Balburdia,46.6448598,5,484.1189023
765,ElMatador4968,Huacho,92.4259259,Indole,151.2424242,Animo,142.6,Sujo,46.212963,Trapalhada,50.4141414,5,484.00579930000004
766,ElMatador2755,Mejicanos,60.1325301,Claro,131.3421053,Chefe,217,Aranar,31.3899371,Tumulto,43.0258621,5,484.0007794
767,ElMatador4146,Burgos,124.775,Falso,131.3421053,Intenso,116.0697674,Atarantar,64.8181818,Huella,45.7889908,5,483.9043901
768,ElMatador3051,Vincinte,71.3,Flamejar,118.8333333,Chefe,217,Cicatriz,36.9703704,Tierra,38.6899225,5,483.903971
769,ElMatador3087,Palma,199.64,Titulo,63.1772152,Duro,124.775,None,16.5264901,Torridus,69.3194444,4,483.77148299999993
770,ElMatador2358,Segovia,124.775,Reluzir,138.6388889,Torcido,113.4318182,Obsceno,44.1681416,Espeso,61.617284,5,483.74147750000003
771,ElMatador4144,Talara,108.5,Capa,89.125,Voar,172.1034483,Cisco,38.3923077,Lentum,74.4925373,5,483.72363809999996
772,ElMatador2368,Sullana,97.8627451,Replica,127.974359,Furioso,134.8918919,Imunda,41.2479339,Mania,80.5,5,483.5872747
773,ElMatador1680,Patzicia,118.8333333,Desejo,92.4259259,Cabriole,166.3666667,Laluz,34.4206897,Embargo,70.2957746,5,483.452735
774,ElMatador1668,Quito,110.9111111,Medida,118.8333333,Enganador,127.974359,Esfiapar,75.6212121,Desordem,48.9313725,5,483.3817328
775,ElMatador2308,Tarronga,184.8518519,Silex,68.369863,Brioso,127.974359,Manchar,43.0258621,Molesta,58.0348837,5,483.3671645
776,ElMatador4330,Quito,110.9111111,Medida,118.8333333,Espiritu,118.8333333,Cascalho,53.0957447,Mania,80.5,5,483.28386720000003
777,ElMatador4032,Salamanca,138.6388889,Manera,87.5614035,Valioso,124.775,Felpar,70.2957746,Dejado,60.8658537,5,483.2472655000001
778,ElMatador3238,Limon,113.4318182,Padrao,116.0697674,Omal,146.7941176,Furia,47.0849057,Desgracia,58.7176471,5,483.2086008
779,ElMatador4848,Soloia,116.0697674,Indole,151.2424242,Desviado,108.5,Brilho,35.9064748,Embargo,70.2957746,5,483.12478580000004
780,ElMatador0895,Tajer,161,Acuti,68.369863,Siniestro,161,Brillo,33.4966443,Molesta,58.0348837,5,483.01173580000005
781,ElMatador3921,Tarma,106.1914894,Odre,142.6,Duro,124.775,Defeito,35.9064748,Apenar,72.3333333,5,482.91664230000003
782,ElMatador1906,Sechura,138.6388889,Chama,121.7317073,Brioso,127.974359,Vil,43.0258621,Trapalhada,50.4141414,5,482.8953035
783,ElMatador3510,Beja,68.369863,Merito,166.3666667,Acerbo,108.5,Seixas,63.9871795,Enojo,74.4925373,5,482.8265913
784,ElMatador4088,Cusco,89.125,Agudo,89.125,Voar,172.1034483,Pedras,65.6710526,Sucio,65.6710526,5,482.80589829999997
785,ElMatador3205,Cumbres,121.7317073,Esperto,151.2424242,Dewsviada,95.9807692,Ardor,38.0992366,Linny,74.4925373,5,482.65701939999997
786,ElMatador2979,Sumpango,101.8571429,Ameno,68.369863,Gula,191.9615385,Grava,31.7898089,Furvidus,87.5614035,5,482.65010159999997
787,ElMatador3063,Medillian,97.8627451,Clarao,172.1034483,Vingavito,110.9111111,Cabelo,54.8461538,Huella,45.7889908,5,482.6227939000001
788,ElMatador2885,Chimbote,108.5,Destro,142.6,Amotinado,118.8333333,Cabelo,54.8461538,Vuelco,56.7159091,5,482.605741
789,ElMatador4899,Segovia,124.775,Fulgor,101.8571429,Asas,146.7941176,Seixos,65.6710526,Mugre,42.2966102,5,482.5042681
790,ElMatador4654,Zacapa,127.974359,Comodo,72.3333333,Cabriole,166.3666667,Cotao,68.369863,Sujar,46.212963,5,482.3675298
791,ElMatador2991,Tarma,106.1914894,Sagax,79.2222222,Flutuar,166.3666667,Porcada,31.5886076,Luteus,97.8627451,5,482.3420758
792,ElMatador2996,Chancay,118.8333333,Esperto,151.2424242,Guia,106.1914894,Raspar,34.6597222,Embargo,70.2957746,5,482.33308850000003
793,ElMatador4880,Tarma,106.1914894,Delujo,74.4925373,Rebelde,178.25,Raspar,34.6597222,Furvidus,87.5614035,5,482.26549719999997
794,ElMatador2947,Chincha,124.775,Claro,131.3421053,Salvaje,134.8918919,Vestigio,56.7159091,None,24.1111111,4,482.16935069999994
795,ElMatador4619,Malaga,110.9111111,Crosto,106.1914894,Salvaje,134.8918919,Vestigio,56.7159091,Revas,72.3333333,5,482.1540796
796,ElMatador2442,Palma,199.64,Invulgar,71.3,Cruela,90.7454545,Grava,31.7898089,Furvidus,87.5614035,5,482.1470117
797,ElMatador4241,Sintra,84.5932203,Manera,87.5614035,Negrito,199.64,Raspar,34.6597222,Enojo,74.4925373,5,482.0572280999999
798,ElMatador0838,Tajer,161,Acer,68.369863,Enganadora,184.8518519,None,16.5264901,Cunfusao,40.9098361,4,481.99137440000004
799,ElMatador2781,Soloia,116.0697674,Toscoe,71.3,Aborto,217,Manchar,43.0258621,None,24.1111111,4,481.8400739
800,ElMatador3367,Apopa,66.5466667,Comodo,72.3333333,Negrito,199.64,Seixas,63.9871795,Anguista,77.984375,5,481.6018993
801,ElMatador2274,Sechura,138.6388889,Odre,142.6,Amotinado,118.8333333,Luz,37.2462687,Tumulto,43.0258621,5,481.4546978
802,ElMatador3047,Oviedo,161,Estilo,57.3678161,Monstro,172.1034483,None,16.5264901,caotica,63.9871795,4,481.3182673
