Rank,Name,Background,BackgroundWeight,Body,BodyWeight,Ear,EarWeight,Eye,EyeWeight,Eyes,EyesWeight,Head,HeadWeight,Mouth,MouthWeight,Skin,SkinWeight,TraitCount,Weighting
436,Pendulum #01381,Cozmo Green,23.7393365,Imperial Green,156.53125,Crescent White,116.4883721,Orange,7.0549296,Derp Red,500.9,Jaboiii Red,217.7826087,Bandit Red,172.7241379,Vent Sun,116.4883721,8,1317.1833238000002
437,Pendulum #01409,Cozmo Teal,32.1089744,Criminal Blue,172.7241379,Valkyrie Black,263.6315789,Black,5.0698381,Samurai Blue,417.4166667,Samurai Red,217.7826087,Samurai Glitch,86.362069,Grunt Purple,116.4883721,8,1317.0585627000003
438,Pendulum #02935,Cozmo Red,43.9385965,Spider Pink,238.5238095,Roger Green,172.7241379,Orange,7.0549296,Opulence Pink,227.6818182,Opulence Orange,217.7826087,Holo Drape Green,278.2777778,Skeleton Brown,125.225,8,1316.6829951
439,Pendulum #04676,Green,17.3321799,Legion Purple,333.9333333,Sacred Ring Green,131.8157895,Orange,7.0549296,Lazer Eye Purple,161.5806452,Moon Sherpa Blue,147.3235294,Holo Drape Yellow,417.4166667,Oracle Black,94.509434,8,1316.4408245000002
440,Pendulum #04332,Cozmo Yellow,28.6228571,War Purple,238.5238095,Assassin Yellow,166.9666667,Orange,7.0549296,Lazer Eye Yellow,278.2777778,Moon Sherpa Orange,178.8928571,Opulence Pink,333.9333333,Feather Blue,78.265625,8,1316.012173
441,Pendulum #01040,Red,17.0955631,Tesla Purple,313.0625,Aquatic Purple,79.5079365,Green,9.7641326,Awaken Green,104.3541667,Bandit Yellow,294.6470588,Knight Gray,385.3076923,Highborn Moon,106.5744681,8,1315.7878350000003
442,Pendulum #01945,Teal,35.5248227,Forge Yellow,238.5238095,,2.2573231,Black,5.0698381,Astronomer Blue,151.7878788,Derp Green,385.3076923,Seal Breaker Blue,455.3636364,White,36.2971014,7,1315.212224
443,Pendulum #02968,Cozmo Yellow,28.6228571,Knight Purple,178.8928571,Trinity Red,185.5185185,Orange,7.0549296,Third Eye Pink,357.7857143,Opulence Orange,217.7826087,Bubble Green,208.7083333,Skeleton Blue,125.225,8,1315.0651354999998
444,Pendulum #03381,Cozmo Red,43.9385965,Bandit Blue,185.5185185,Samurai Blue,227.6818182,Pink,10.4790795,Holodrape Teal,156.53125,Ancient Orange,192.6538462,Mithrandir Glitch,455.3636364,Grunt Glitch,35.7785714,8,1313.4196336
445,Pendulum #00116,Black,28.7873563,Legion Glitch,161.5806452,Trinity Green,119.2619048,Green,9.7641326,Lazer Eye Glitch,217.7826087,Opulence Blue,333.9333333,Recon Brown,333.9333333,Skeleton Death,102.2244898,8,1312.7421209
446,Pendulum #04000,Cozmo Aqua,29.6390533,Knight Gray,238.5238095,Derp Pink,200.36,White,9.1072727,Aether Green,172.7241379,Derp Green,385.3076923,Aether Red,143.1142857,Vent Green,128.4358974,8,1312.6864657
447,Pendulum #00023,Green,17.3321799,Legion Glitch,161.5806452,Assassin Teal,178.8928571,Green,9.7641326,Neon Visor Green,278.2777778,Harlequin Blue,556.5555556,,2.1921225,Skeleton Death,102.2244898,7,1311.8998822
448,Pendulum #02708,Cozmo Orange,43.1810345,Holodrape Yellow,417.4166667,,92.7592593,Black,5.0698381,Holodrape Yellow,166.9666667,Holodrape Yellow,357.7857143,Holodrape Yellow,147.3235294,Highborn Glitch,75.8939394,8,1311.8709653
449,Pendulum #03570,Gradient Forrest,37.1037037,Knight Blue,122.1707317,Sorceress Blue,200.36,Yellow,14.4768786,Lightning Yellow,278.2777778,Harlequin Purple,250.45,Opulence Green,313.0625,Oracle Blue,89.4464286,8,1310.8223373
450,Pendulum #01538,Yellow,29.2923977,Tesla Red,161.5806452,Crescent Purple,143.1142857,Orange,7.0549296,T2 Pink,333.9333333,Unicorn Blue,263.6315789,Knocker Yellow,263.6315789,Highborn Blue,102.2244898,8,1309.937556
451,Pendulum #00337,Gradient Forrest,37.1037037,Legion Red,313.0625,Trinity Red,185.5185185,Black,5.0698381,Opulence Orange,208.7083333,Moon Sherpa Orange,178.8928571,Vape Yellow,294.6470588,Oracle Purple,80.7903226,8,1309.2674490000002
452,Pendulum #02508,Orange,25.1708543,Knight Green,200.36,Trinity Purple,556.5555556,Blue,13.2513228,Lazer Eye Blue,263.6315789,Plugged Brown,185.5185185,,2.1921225,Burst,56.9204545,7,1308.6805288000003
453,Pendulum #01701,Cozmo Aqua,29.6390533,,2.33411,,2.2573231,Purple,10.0784708,Welder Pink,357.7857143,Baller Teal,385.3076923,Fu Blue,455.3636364,Green,61.0853659,6,1308.5857706
454,Pendulum #04144,Gradient Forrest,37.1037037,Knight Green,200.36,Assassin Teal,178.8928571,Purple,10.0784708,Third Eye Green,263.6315789,Recon Purple,238.5238095,Assassin Green,217.7826087,Feather Seer,156.53125,8,1308.3785956000002
455,Pendulum #00333,Cozmo Green,23.7393365,Knight Glitch,94.509434,Sorceress Blue,200.36,Black,5.0698381,Recon Brown,417.4166667,Moon Sherpa Orange,178.8928571,Holo Drape Red,263.6315789,Knower,119.2619048,8,1308.355933
456,Pendulum #01799,Cozmo Pearl,41.7416667,Assassin Green,84.8983051,Roger Glitch,192.6538462,White,9.1072727,Zodiac Red,217.7826087,Iron Crown Yellow,333.9333333,Spider Pink,278.2777778,Skeleton Teal,143.1142857,8,1306.9834131
457,Pendulum #04865,Cozmo Teal,32.1089744,Samurai Gray,250.45,Angelic Red,84.8983051,Orange,7.0549296,Monopoly Blue,385.3076923,Astronomer Orange,200.36,Knocker Blue,263.6315789,Sun,77.0615385,8,1306.3473357
458,Pendulum #00390,Purple,24.1980676,,2.33411,Aquatic Green,108.8913043,Purple,10.0784708,Holodrape Black,200.36,Unicorn Green,200.36,Knocker Glitch,626.125,Highborn Sunset,128.4358974,7,1305.8629718
459,Pendulum #01577,Cozmo White,37.380597,Assassin Green,84.8983051,Roger Pink,333.9333333,Green,9.7641326,Neon Visor Glitch,128.4358974,Opulence Blue,333.9333333,Opulence Green,313.0625,Feather Black,58.9294118,8,1305.8118274
460,Pendulum #01334,Yellow,29.2923977,,2.33411,,2.2573231,Purple,10.0784708,Holo Visor Glitch,77.0615385,Opulence Glitch,556.5555556,Spider Yellow,500.9,Skeleton White,122.1707317,6,1305.3845319000002
461,Pendulum #04567,Cozmo Yellow,28.6228571,Hero Blue,192.6538462,Mist Green,143.1142857,Red,17.5754386,Layser Pink,357.7857143,Ancient White,250.45,Knight Teal,192.6538462,Grunt White,116.4883721,8,1304.8186771000003
462,Pendulum #04151,Teal,35.5248227,Plugged Orange,200.36,Vega Blue,238.5238095,Teal,18.9734848,Opulence Orange,208.7083333,Infinity Red,278.2777778,Gun Chin Yellow,227.6818182,Oracle Cream,91.0727273,8,1304.5970905000001
463,Pendulum #04331,Gradient Forrest,37.1037037,Assassin Green,84.8983051,Vega Yellow,313.0625,Black,5.0698381,Neon Visor Purple,208.7083333,Opulence Pink,238.5238095,Gun Chin Teal,294.6470588,Feather Brown,116.4883721,8,1303.9762375000003
464,Pendulum #00868,Yellow,29.2923977,Assassin Orange,238.5238095,War Red,278.2777778,Teal,18.9734848,War Green,250.45,Moon Sherpa Blue,147.3235294,Smoke Purple,294.6470588,Blue,40.3951613,8,1303.3575362000001
465,Pendulum #03146,White,41.057377,War Blue,333.9333333,Angel Blue,67.6891892,Green,9.7641326,Neon Visor Glitch,128.4358974,War Red,385.3076923,Bubble Pink,178.8928571,Skeleton Bronze,151.7878788,8,1302.3426746
466,Pendulum #00477,White,41.057377,Imperial Blue,357.7857143,Angelic Glitch,250.45,Red,17.5754386,T2 Teal,227.6818182,Aether Red,128.4358974,Holodrape Bronze,156.53125,Grunt Purple,116.4883721,8,1301.4801845000002
467,Pendulum #01124,Gradient Forrest,37.1037037,Recon Blue,217.7826087,Sacred Ring Orange,185.5185185,Teal,18.9734848,Lightning Green,185.5185185,Infinity Red,278.2777778,Holo Drape Purple,250.45,Skeleton White,122.1707317,8,1301.2696606000002
468,Pendulum #00554,Teal,35.5248227,Prism Glitch,385.3076923,Assassin Orange,111.3111111,Teal,18.9734848,Lightning Green,185.5185185,Infinity Glitch,200.36,Gun Chin Purple,263.6315789,Oracle Black,94.509434,8,1300.6109592000003
469,Pendulum #02933,Cozmo Yellow,28.6228571,Hero Blue,192.6538462,Crescent Glitch,208.7083333,Orange,7.0549296,Awaken Glitch,227.6818182,Holodrape Black,217.7826087,Mithrandir Green,357.7857143,Sun Glitch,54.4456522,8,1300.2100765
470,Pendulum #02957,Cozmo Forrest,30.5426829,Opulence Green,263.6315789,Angel Yellow,108.8913043,Pink,10.4790795,Lightning Glitch,147.3235294,Spider Blue,357.7857143,Holo Drape Blue,294.6470588,Brown,80.7903226,8,1299.5655876000003
471,Pendulum #00248,Gradient Forrest,37.1037037,Monk Green,500.9,Sorceress Yellow,166.9666667,White,9.1072727,Lazer Eye Red,147.3235294,Sorceress Gray,278.2777778,,2.1921225,Oracle Brown,151.7878788,7,1298.7390733000002
472,Pendulum #00694,Cozmo Orange,43.1810345,Hero White,263.6315789,Mist Blue,185.5185185,Pink,10.4790795,Awaken Purple,96.3269231,Bandit Purple,263.6315789,Seal Breaker Green,333.9333333,Highborn Black,96.3269231,8,1298.5032867000002
473,Pendulum #02909,Pink,22.8721461,Plugged Blue,151.7878788,Roger Teal,263.6315789,Black,5.0698381,Zodiac Red,217.7826087,Opulence Orange,217.7826087,Aqua Mask Green,294.6470588,Feather Burst,119.2619048,8,1298.3099398
474,Pendulum #03811,Blue,23.5164319,Assassin Green,84.8983051,War Red,278.2777778,Pink,10.4790795,Zodiac Purple,200.36,Prism Gold,313.0625,Smoke Green,333.9333333,Purple,48.1634615,8,1298.1652060000001
475,Pendulum #01306,Aqua,10.772043,,2.33411,Assassin Green,104.3541667,Blue,13.2513228,Third Eye Glitch,200.36,Spider Red,834.8333333,,2.1921225,Skeleton Brown,125.225,6,1298.0565028
476,Pendulum #03650,Purple,24.1980676,Plugged Orange,200.36,Sorceress White,172.7241379,Yellow,14.4768786,Zodiac Red,217.7826087,Opulence Red,250.45,Opulence Pink,333.9333333,Feather Blue,78.265625,8,1297.664968
477,Pendulum #02793,Cozmo Sunset,41.3966942,Assassin Glitch,238.5238095,Roger Green,172.7241379,Yellow,14.4768786,Lazer Eye Pink,278.2777778,Plugged Blue,178.8928571,Recon Orange,278.2777778,Oracle Blue,89.4464286,8,1297.4906784000002
478,Pendulum #03980,Red,17.0955631,Monk Purple,357.7857143,Angel Green,143.1142857,Teal,18.9734848,Lazer Eye Glitch,217.7826087,Harlequin Yellow,278.2777778,Holo Drape Glitch,217.7826087,Cream,41.057377,8,1297.3437370000004
479,Pendulum #01271,Cozmo Blue,28.4602273,Aether Purple,143.1142857,Valkyrie Red,313.0625,Red,17.5754386,,2.1778261,Ancient White,250.45,Knight Orange,500.9,White,36.2971014,7,1297.1175008
480,Pendulum #00114,Aqua,10.772043,Spider Green,313.0625,Angel Blue,67.6891892,Orange,7.0549296,Plugged Green,385.3076923,Plugged Blue,178.8928571,Assassin Orange,208.7083333,Feather Burst,119.2619048,8,1296.2237662
481,Pendulum #04131,Cozmo Blue,28.4602273,War Pink,217.7826087,Sorceress Blue,200.36,White,9.1072727,Third Eye Yellow,294.6470588,Plugged Brown,185.5185185,Holo Drape Red,263.6315789,Oracle Cream,91.0727273,8,1296.0543091000002
482,Pendulum #03967,Cozmo Green,23.7393365,Legion Red,313.0625,Assassin Green,104.3541667,Purple,10.0784708,Neon Visor Purple,208.7083333,Harlequin Glitch,200.36,Holo Drape Green,278.2777778,Shiny Ice,151.7878788,8,1295.8427808000001
483,Pendulum #04547,Cozmo Blue,28.4602273,Forge Green,250.45,Crescent White,116.4883721,Black,5.0698381,Derp Teal,278.2777778,Jaboiii Pink,294.6470588,Samurai Green,238.5238095,Red,78.265625,8,1295.6570255000001
484,Pendulum #02646,Green,17.3321799,Bandit Teal,192.6538462,,2.2573231,Pink,10.4790795,Derp Teal,278.2777778,Wizard Green,238.5238095,Derp Teal,417.4166667,Shiny Fire,131.8157895,7,1293.8365939
485,Pendulum #01144,Purple,24.1980676,Legion Yellow,357.7857143,Sacred Ring Green,131.8157895,Orange,7.0549296,Holo Visor Blue,131.8157895,Moon Sherpa Purple,313.0625,Spider Red,278.2777778,Black,44.3274336,8,1293.8123188
486,Pendulum #04383,Gradient Pearl,31.30625,Imperial Red,263.6315789,Samurai Gray,208.7083333,Red,17.5754386,Layser Blue,131.8157895,Derp Red,208.7083333,Pharoah Glitch,385.3076923,Cream,41.057377,8,1293.5851098
487,Pendulum #00071,Green,17.3321799,Opulence Blue,250.45,Assassin Green,104.3541667,Green,9.7641326,Lazer Eye Pink,278.2777778,Iron Crown Yellow,333.9333333,Bubble Glitch,250.45,Cream,41.057377,8,1291.0932842000002
488,Pendulum #04485,Yellow,29.2923977,Forge Teal,294.6470588,Samurai Gray,208.7083333,Green,9.7641326,Aether Purple,119.2619048,Derp Yellow,200.36,Seal Breaker Green,333.9333333,Highborn Cream,89.4464286,8,1290.8879060000002
489,Pendulum #03374,Cozmo Red,43.9385965,War Purple,238.5238095,Trinity Red,185.5185185,Black,5.0698381,War Green,250.45,Opulence Pink,238.5238095,Opulence Blue,227.6818182,Oracle Black,94.509434,8,1289.6901412000002
490,Pendulum #03398,Orange,25.1708543,Hero Purple,278.2777778,Crescent Orange,119.2619048,Black,5.0698381,Monopoly Blue,385.3076923,Holodrape Black,217.7826087,Samurai Red,172.7241379,Grunt Blue,79.5079365,8,1288.5770673
491,Pendulum #01785,Blue,23.5164319,Imperial Green,156.53125,Aquatic Purple,79.5079365,Yellow,14.4768786,Layser Pink,357.7857143,Holodrape Black,217.7826087,Pharoah Glitch,385.3076923,Purple,48.1634615,8,1288.5462907
492,Pendulum #01329,Purple,24.1980676,Bandit Green,143.1142857,Angelic Yellow,122.1707317,Black,5.0698381,Samurai Purple,227.6818182,Bandit Red,333.9333333,Fu Purple,385.3076923,Cream,41.057377,8,1288.0074608000002
493,Pendulum #03152,Aqua,10.772043,Tesla Red,161.5806452,Angelic Green,172.7241379,Green,9.7641326,Monopoly Red,333.9333333,Astronomer Purple,250.45,Samurai Gray,294.6470588,Purple,48.1634615,8,1287.5091292
494,Pendulum #00171,Aqua,10.772043,Phoenix Orange,161.5806452,War Pink,192.6538462,Pink,10.4790795,Opulence Pink,227.6818182,Mirror Red,294.6470588,Vape Purple,294.6470588,Oracle Blue,89.4464286,8,1287.3822952
495,Pendulum #00411,Red,17.0955631,Knight Purple,178.8928571,Vega Blue,238.5238095,Black,5.0698381,Third Eye Glitch,200.36,Opulence Blue,333.9333333,Bubble Pink,178.8928571,Feather Rainbow,128.4358974,8,1286.6784725
496,Pendulum #02309,Black,28.7873563,Bandit Teal,192.6538462,Angelic Yellow,122.1707317,Purple,10.0784708,Astronomer Purple,172.7241379,Wizard Pink,263.6315789,Fu Blue,455.3636364,Grunt Glitch,35.7785714,8,1286.6626465
497,Pendulum #03568,Black,28.7873563,Assassin Orange,238.5238095,Sorceress White,172.7241379,Blue,13.2513228,Opulence Green,263.6315789,Harlequin Yellow,278.2777778,Aqua Mask Red,100.18,Shiny Polarized,185.5185185,8,1286.3688186000002
498,Pendulum #04623,Gradient Sunset,32.9539474,Opulence Blue,250.45,Angel Glitch,143.1142857,Teal,18.9734848,Third Eye Green,263.6315789,War Purple,294.6470588,Assassin Pink,125.225,Oracle Brown,151.7878788,8,1286.2575513
499,Pendulum #00837,Cozmo Aqua,29.6390533,Bandit Pink,178.8928571,,2.2573231,Red,17.5754386,Derp Pink,278.2777778,Ronin Green,156.53125,Knight Orange,500.9,Grunt Purple,116.4883721,7,1285.6421937000002
500,Pendulum #04682,Gradient Sunset,32.9539474,,2.33411,Roger Glitch,192.6538462,Black,5.0698381,War Purple,238.5238095,Harlequin Purple,250.45,Opulence Orange,500.9,Burst,56.9204545,7,1284.8861274
501,Pendulum #03217,Pink,22.8721461,,2.33411,Derp Yellow,238.5238095,Red,17.5754386,Aether Purple,119.2619048,Baller Glitch,385.3076923,Derp Red,417.4166667,Highborn Glitch,75.8939394,7,1284.2658291
502,Pendulum #04575,Yellow,29.2923977,Holodrape Black,357.7857143,Mist Glitch,263.6315789,Black,5.0698381,Awaken Red,161.5806452,Unicorn Yellow,161.5806452,Gilly Yellow,238.5238095,Green,61.0853659,8,1284.0243116999998
503,Pendulum #04102,Blue,23.5164319,Aether Red,128.4358974,Samurai Purple,313.0625,Black,5.0698381,Layser Glitch,200.36,Unicorn Green,200.36,Seal Breaker Glitch,294.6470588,Shiny Blue,111.3111111,8,1282.2371542000003
504,Pendulum #01007,Cozmo Aqua,29.6390533,Samurai Green,178.8928571,Crescent Glitch,208.7083333,Black,5.0698381,Samurai Gray,294.6470588,Aether Glitch,192.6538462,Bandit Glitch,250.45,Vent Sun,116.4883721,8,1282.0236758
505,Pendulum #04029,Yellow,29.2923977,Phoenix Pink,200.36,Angel Blue,67.6891892,Green,9.7641326,Plugged Blue,313.0625,War Red,385.3076923,Aqua Mask Purple,151.7878788,Feather Burst,119.2619048,8,1282.0000123
506,Pendulum #02353,Gradient Sunset,32.9539474,Forge Green,250.45,Derp Red,217.7826087,Red,17.5754386,Holodrape Teal,156.53125,Jaboiii Green,263.6315789,Astronomer Blue,208.7083333,Shiny Green,128.4358974,8,1281.5433712
507,Pendulum #01648,Cozmo Yellow,28.6228571,Knight Orange,417.4166667,Mist Blue,185.5185185,Green,9.7641326,Holodrape Pink,208.7083333,Derp Red,208.7083333,Knight Blue,143.1142857,Grunt Black,73.6617647,8,1280.9892088000001
508,Pendulum #03305,Cozmo Aqua,29.6390533,Tesla Glitch,227.6818182,Samurai Blue,227.6818182,Orange,7.0549296,Welder Blue,250.45,,2.4699211,Gilly Green,357.7857143,Shiny Purple,172.7241379,7,1280.5675142999999
509,Pendulum #03876,Cozmo Pink,42.4491525,Bandit Pink,178.8928571,,2.2573231,Pink,10.4790795,Tactical Glitch,227.6818182,Ronin Blue,125.225,Seal Breaker Yellow,556.5555556,Vent Sunset,131.8157895,7,1280.4366972
510,Pendulum #02415,Cozmo Blue,28.4602273,Imperial Purple,500.9,Aquatic Glitch,238.5238095,Blue,13.2513228,Monopoly Yellow,333.9333333,,2.4699211,Aether Blue,79.5079365,Red,78.265625,7,1280.3922972
511,Pendulum #03193,Aqua,10.772043,Phoenix Glitch,200.36,Trinity Yellow,278.2777778,Blue,13.2513228,Neon Visor Red,238.5238095,Mirror Purple,113.8409091,Vape Yellow,294.6470588,Skeleton Brown,125.225,8,1280.3722379
512,Pendulum #00996,Green,17.3321799,,2.33411,Angel Blue,67.6891892,Yellow,14.4768786,Holo Visor Pink,217.7826087,Harlequin Blue,556.5555556,Gun Chin Red,294.6470588,Oracle Knower,104.3541667,7,1280.2518692
513,Pendulum #01496,Cozmo Blue,28.4602273,War Pink,217.7826087,Angel Yellow,108.8913043,Black,5.0698381,Holo Visor Red,263.6315789,Infinity Green,313.0625,Assassin Teal,250.45,Feather Glitch,86.362069,8,1279.1844432000003
514,Pendulum #04091,Gradient Forrest,37.1037037,Monk Glitch,200.36,Assassin Green,104.3541667,Black,5.0698381,Neon Visor Glitch,128.4358974,War Pink,455.3636364,Assassin Green,217.7826087,Skeleton Brown,125.225,8,1279.1691679
515,Pendulum #00979,Cozmo Pearl,41.7416667,Hero Purple,278.2777778,Muffs Blue,147.3235294,Black,5.0698381,Aether Green,172.7241379,Bandit Blue,185.5185185,Seal Breaker Green,333.9333333,Vent Moon,108.8913043,8,1278.9544229000003
516,Pendulum #02611,Aqua,10.772043,Assassin Teal,147.3235294,Assassin Yellow,166.9666667,Black,5.0698381,Lightning Yellow,278.2777778,Prism Purple,333.9333333,Assassin Orange,208.7083333,Skeleton Purple,122.1707317,8,1278.6965702000002
517,Pendulum #04701,Aqua,10.772043,Monk Glitch,200.36,Trinity Red,185.5185185,Green,9.7641326,Third Eye Purple,263.6315789,War Purple,294.6470588,Assassin Yellow,227.6818182,Oracle Glitch,80.7903226,8,1278.6397895
518,Pendulum #01449,Cozmo Pearl,41.7416667,War Red,313.0625,Assassin Pink,100.18,Green,9.7641326,Plugged Glitch,172.7241379,War Purple,294.6470588,Vape Yellow,294.6470588,Skeleton Glitch,46.3796296,8,1278.6205013000001
519,Pendulum #04242,Cozmo Blue,28.4602273,Samurai Green,178.8928571,Angelic Yellow,122.1707317,Red,17.5754386,Derp Yellow,333.9333333,Holodrape Black,217.7826087,Seal Breaker Glitch,294.6470588,Grunt Blue,79.5079365,8,1278.4445089
520,Pendulum #02827,Cozmo Sunset,41.3966942,Opulence Orange,192.6538462,Sorceress Yellow,166.9666667,Yellow,14.4768786,Lightning Glitch,147.3235294,Sorceress White,357.7857143,Plugged Green,313.0625,Burst Glitch,37.1037037,8,1276.24385
521,Pendulum #04516,Cozmo Yellow,28.6228571,Knight Brown,156.53125,Trinity Green,119.2619048,Blue,13.2513228,Neon Visor Red,238.5238095,War Red,385.3076923,Bubble Glitch,250.45,Feather Blue,78.265625,8,1275.6887784
522,Pendulum #03112,Green,17.3321799,,2.33411,Assassin Orange,111.3111111,Black,5.0698381,Neon Visor Blue,333.9333333,Spider Pink,417.4166667,Holo Drape Red,263.6315789,Feather Burst,119.2619048,7,1275.3708445
523,Pendulum #01361,Cozmo Teal,32.1089744,Tesla Yellow,185.5185185,Mist Glitch,263.6315789,Red,17.5754386,Awaken Yellow,178.8928571,Samurai Purple,217.7826087,Seal Breaker Green,333.9333333,Blue,40.3951613,8,1275.3127877
524,Pendulum #01874,Cozmo Green,23.7393365,Samurai Blue,333.9333333,Aquatic Yellow,156.53125,Blue,13.2513228,Awaken Purple,96.3269231,Ancient White,250.45,Knocker Blue,263.6315789,Shiny Fire,131.8157895,8,1275.153851
525,Pendulum #03865,Cozmo Teal,32.1089744,Phoenix Pink,200.36,,2.2573231,White,9.1072727,Lazer Eye Pink,278.2777778,Iron Crown Green,357.7857143,Assassin Teal,250.45,Feather Cream,139.1388889,7,1274.5660729
526,Pendulum #00569,Green,17.3321799,Sorceress Blue,278.2777778,Angel Blue,67.6891892,Teal,18.9734848,War Red,263.6315789,Opulence Green,385.3076923,Bubble Pink,178.8928571,Feather Black,58.9294118,8,1274.5084887
527,Pendulum #03352,Gradient Pearl,31.30625,Prism Purple,238.5238095,Trinity Blue,122.1707317,Orange,7.0549296,Zodiac Blue,238.5238095,Recon Glitch,278.2777778,Assassin Yellow,227.6818182,Skeleton Blue,125.225,8,1274.2384432
528,Pendulum #01198,Cozmo Red,43.9385965,Spider Yellow,556.5555556,,2.2573231,Teal,18.9734848,Holo Visor Glitch,77.0615385,Recon Glitch,278.2777778,Holo Drape Purple,250.45,Cream,41.057377,7,1273.6517750000003
529,Pendulum #01637,White,41.057377,Assassin Green,84.8983051,Sacred Ring Purple,178.8928571,Green,9.7641326,,2.1778261,Opulence Glitch,556.5555556,Gun Chin Teal,294.6470588,Feather White,100.18,7,1273.2532340000002
530,Pendulum #03439,Red,17.0955631,War Purple,238.5238095,War Pink,192.6538462,White,9.1072727,Plugged Green,385.3076923,Plugged Blue,178.8928571,Vape Green,208.7083333,Burst Glitch,37.1037037,8,1272.8673948
531,Pendulum #00496,Cozmo Pink,42.4491525,Knight Blue,122.1707317,Trinity Glitch,128.4358974,Black,5.0698381,Lazer Eye Purple,161.5806452,Prism Green,227.6818182,Spider Yellow,500.9,Feather Blue,78.265625,8,1272.028025
532,Pendulum #02913,Red,17.0955631,,2.33411,Sorceress Pink,172.7241379,Green,9.7641326,Third Eye Pink,357.7857143,Prism Gold,313.0625,Plugged Blue,313.0625,Oracle Glitch,80.7903226,7,1271.6991022000002
533,Pendulum #02101,Cozmo Green,23.7393365,Assassin Green,84.8983051,Sorceress White,172.7241379,Blue,13.2513228,Lazer Eye Blue,263.6315789,Harlequin Yellow,278.2777778,Assassin Teal,250.45,Skeleton Candy,178.8928571,8,1271.339633
534,Pendulum #02744,Cozmo Sunset,41.3966942,Plugged Green,156.53125,Angel Purple,84.8983051,Blue,13.2513228,Opulence Blue,200.36,Prism Purple,333.9333333,Plugged Green,313.0625,Skeleton White,122.1707317,8,1271.0784540000002
535,Pendulum #03401,Cozmo Sunset,41.3966942,,2.33411,Muffs Blue,147.3235294,Yellow,14.4768786,Welder Glitch,192.6538462,Baller Glitch,385.3076923,Fu Purple,385.3076923,Highborn Black,96.3269231,7,1270.2074878
536,Pendulum #04178,White,41.057377,,2.33411,Valkyrie Purple,185.5185185,Red,17.5754386,Samurai Green,208.7083333,Astronomer Glitch,500.9,Bandit Blue,208.7083333,Highborn Sun,100.18,7,1270.0622324
537,Pendulum #04883,Cozmo Green,23.7393365,Assassin Glitch,238.5238095,Sorceress Yellow,166.9666667,Black,5.0698381,Neon Visor Green,278.2777778,Plugged Blue,178.8928571,Gun Chin Teal,294.6470588,Feather Blue,78.265625,8,1269.8572864000002
538,Pendulum #04136,Teal,35.5248227,Astronomer Pink,208.7083333,Mist Glitch,263.6315789,Yellow,14.4768786,Holodrape Teal,156.53125,Astronomer Blue,294.6470588,Aether Red,143.1142857,Grunt Moon,147.3235294,8,1269.4320543000001
539,Pendulum #02234,White,41.057377,Aether Purple,143.1142857,Muffs Green,250.45,Red,17.5754386,Awaken Red,161.5806452,Aether Blue,98.2156863,Mithrandir Glitch,455.3636364,Grunt Sunset,96.3269231,8,1269.1583091999998
540,Pendulum #01235,Cozmo Blue,28.4602273,Legion Yellow,357.7857143,Trinity Green,119.2619048,Black,5.0698381,Zodiac Glitch,263.6315789,,2.4699211,Recon Yellow,333.9333333,Shiny Ice,151.7878788,7,1267.4805183
541,Pendulum #03900,Cozmo Green,23.7393365,War Pink,217.7826087,Vega Yellow,313.0625,Orange,7.0549296,War Green,250.45,Recon Orange,313.0625,Aqua Mask Red,100.18,White,36.2971014,8,1267.1032931000002
542,Pendulum #04546,Yellow,29.2923977,Criminal Purple,250.45,Samurai Gray,208.7083333,Yellow,14.4768786,Aether Purple,119.2619048,Astronomer Pink,250.45,Fu Red,313.0625,Highborn Glitch,75.8939394,8,1267.0702707
543,Pendulum #04722,White,41.057377,Holodrape Pink,385.3076923,Samurai Red,357.7857143,Green,9.7641326,Awaken Purple,96.3269231,Astronomer Purple,250.45,Aether Blue,79.5079365,Cream,41.057377,8,1266.7314697000002
544,Pendulum #04849,Cozmo Green,23.7393365,War Pink,217.7826087,Roger Glitch,192.6538462,Orange,7.0549296,War Blue,417.4166667,,2.4699211,Spider Red,278.2777778,Shiny Redrum,122.1707317,7,1266.64594
545,Pendulum #04461,Teal,35.5248227,Sorceress Blue,278.2777778,,2.2573231,Pink,10.4790795,Recon Yellow,250.45,Opulence Blue,333.9333333,Assassin Teal,250.45,Feather White,100.18,7,1266.6324581000001
546,Pendulum #03974,Pink,22.8721461,Monk Glitch,200.36,Angel Pink,147.3235294,White,9.1072727,Zodiac Glitch,263.6315789,,2.4699211,Smoke Orange,556.5555556,Feather Black,58.9294118,7,1266.3295373
547,Pendulum #03477,Aqua,10.772043,Imperial Teal,278.2777778,Samurai Purple,313.0625,Orange,7.0549296,,2.1778261,Unicorn Blue,263.6315789,Samurai Purple,250.45,Vent Cream,135.3783784,7,1265.8851555
548,Pendulum #00495,White,41.057377,Tesla Red,161.5806452,Aquatic Yellow,156.53125,Black,5.0698381,Layser Glitch,200.36,Aether Yellow,250.45,Fu Red,313.0625,Shiny Fire,131.8157895,8,1265.4017167000002
549,Pendulum #01029,Cozmo Sunset,41.3966942,War Green,385.3076923,Assassin Yellow,166.9666667,Blue,13.2513228,Holo Visor Purple,250.45,Plugged Brown,185.5185185,Aqua Mask Red,100.18,Feather Brown,116.4883721,8,1265.0335835000003
